id,sender,event_type,height,initial_claimable_amount,claimable_at_event,amount_claimed,lost_amount
613,evmos1c4x64lud59l9ha5cfg2tu0v7m7nnq9n6p43ggy,ACTION_IBC_TRANSFER,2541022,3.3574322358260407e+20,3.3574322358260407e+20,8.076435607799448e+19,3.171449817656541e+18
977,evmos1cffzy8hcrrc5sq9mc09lshm5rd4754m7krwusv,ACTION_IBC_TRANSFER,4548879,1.8353001633417147e+20,1.8353001633417147e+20,9.024085941425346e+18,3.6858418142117523e+19
417,evmos1clu88lyhttmvrhelxswz03hq9gykhecuknha9h,ACTION_IBC_TRANSFER,283051,1.8353001633417147e+20,1.8353001633417147e+20,3.5386629235530166e+19,1.0495874848012702e+19
995,evmos1clwzkwassjr4p8kfy52l9dvwa47m5q36ytnypm,ACTION_IBC_TRANSFER,4733304,4.073588320559075e+20,4.073588320559075e+20,3.69675870795748e+19,6.487212093440208e+19
811,evmos1csaksh4yhs5y4jcraxu5j4ncszs6aakpcxnaza,ACTION_IBC_TRANSFER,3748183,1.8353001633417147e+20,1.8353001633417147e+20,2.2207815838271422e+19,2.3674688245271446e+19
688,evmos1ctf63qn5f43xs0g556jnk7ygmu4z4kjk2d06t3,ACTION_IBC_TRANSFER,2903893,1.8353001633417147e+20,1.8353001633417147e+20,4.0307054216865006e+19,5.575449866677862e+18
210,evmos1cw8akkxstwn7u87z83866fjkzhqde29ygyz3s3,ACTION_IBC_TRANSFER,274666,1.8353001633417147e+20,1.8353001633417147e+20,3.5835007901643096e+19,1.0047496181899772e+19
914,evmos1d02z944hhwqkz6n9hfzue9w9jzzmkmym6y8nqy,ACTION_IBC_TRANSFER,4296806,2.23828815721736e+20,2.23828815721736e+20,1.7482149256320528e+19,3.847505467411348e+19
728,evmos1d80em3yux49vx993apn87h6cz828hyc7sd24v9,ACTION_IBC_TRANSFER,3137984,1.8353001633417147e+20,1.8353001633417147e+20,3.3724777933064344e+19,1.2157726150478524e+19
999,evmos1dddn64769tn2r6vj33ju2g62tteezerek48r83,ACTION_IBC_TRANSFER,4801879,1.8353001633417147e+20,1.8353001633417147e+20,4.780510182620005e+18,4.110199390092286e+19
913,evmos1dg992jtnq9dxkwjys7u2vdx4fe60ad77sxzrpe,ACTION_IBC_TRANSFER,4281120,1.8353001633417147e+20,1.8353001633417147e+20,1.4709206538052407e+19,3.117329754549046e+19
946,evmos1dhyk954nm7gc67u4209yff33yaqaap7q0a6dnt,ACTION_IBC_TRANSFER,4428019,1.11914407860868e+20,1.11914407860868e+20,2.6166957470042948e+19,1.811644495174054e+18
849,evmos1dkcujd77p27n3nw59y4y7tsqk92tnry54d46pf,ACTION_IBC_TRANSFER,4010887,7.990592595689455e+20,7.990592595689455e+20,7.966167244299069e+19,1.2010314244924568e+20
244,evmos1dltt9ef56a8w9z6k6kur7wtygjgxddzrzn7yn9,ACTION_IBC_TRANSFER,274802,5.752304438472096e+20,5.752304438472096e+20,8.738895905901191e+19,5.641865190279048e+19
401,evmos1dnzcdghgrz0euzkkwdlynglwgxvulmg767adyt,ACTION_IBC_TRANSFER,282707,1.8353001633417147e+20,1.8353001633417147e+20,3.5404906774511505e+19,1.0477597309031363e+19
934,evmos1dp82cysvmlla0q7hrz43scaj8g8guptg8x2vsh,ACTION_IBC_TRANSFER,4354937,5.1927323991677554e+20,5.1927323991677554e+20,4.67666035121313e+19,8.305170646706258e+19
911,evmos1dqme60dn4qzqje3v2tlkhp3ptw70wfmm64ktfm,ACTION_IBC_TRANSFER,4258917,1.8353001633417147e+20,1.8353001633417147e+20,1.588594350792269e+19,2.9996560575620178e+19
655,evmos1ds36rhqm3mhuktgpqwxgzedkpwpt7l2mzxcuug,ACTION_IBC_TRANSFER,2713114,1.8353001633417147e+20,1.8353001633417147e+20,3.949592069007426e+19,6.386583393468604e+18
1009,evmos1dsghpg3sarjm5jhwc92cksw3kqnrf4682xglft,ACTION_IBC_TRANSFER,4886845,3.3574322358260407e+20,3.3574322358260407e+20,5.715949655702174e+18,7.821985623994884e+19
